SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,Rural,Suburb,Urban
2126,4,1,Rural,1969,215355.28361820136,1,0,0
2459,3,2,Rural,1980,195014.22162584803,1,0,0
1860,2,1,Suburb,1970,306891.0120763329,0,1,0
2294,2,1,Urban,1996,206786.78715332696,0,0,1
2130,5,2,Suburb,2001,272436.239065061,0,1,0
2095,2,3,Suburb,2020,198208.80390657103,0,1,0
2724,2,1,Suburb,1993,343429.3191099182,0,1,0
2044,4,3,Rural,1957,184992.321268412,1,0,0
2638,4,3,Urban,1959,377998.58815204125,0,0,1
1121,5,2,Urban,2004,95961.92601406392,0,0,1
1466,5,3,Suburb,1951,191113.7686788604,0,1,0
2238,3,3,Suburb,1987,253358.64500167352,0,1,0
1330,2,2,Suburb,1992,132172.3926169813,0,1,0
2482,4,3,Suburb,1989,231157.02767588635,0,1,0
1087,4,1,Urban,1976,118393.82316264397,0,0,1
2396,2,2,Suburb,1993,267377.3996858498,0,1,0
2123,5,2,Rural,1956,190773.14856300573,1,0,0
1871,4,2,Suburb,1977,172989.80490101498,0,1,0
2687,5,1,Urban,1979,239222.6677969504,0,0,1
1130,4,3,Rural,1962,143050.20178240183,1,0,0
2685,4,3,Urban,1999,405523.82831733953,0,0,1
2332,3,3,Rural,1978,263954.1540627713,1,0,0
1769,4,1,Suburb,1963,148310.62016790514,0,1,0
1343,2,3,Rural,2013,151733.92248999208,1,0,0
2515,2,3,Urban,2013,307961.1073823952,0,0,1
2437,2,1,Rural,2004,276162.86180465267,1,0,0
1805,5,1,Rural,2002,243985.2054715822,1,0,0
1385,4,3,Rural,1996,88030.54185271678,1,0,0
2215,5,1,Urban,1952,282908.98169371625,0,0,1
1955,3,1,Rural,2014,240976.55176671065,1,0,0
1276,4,1,Rural,1965,104747.33458904953,1,0,0
2184,2,2,Suburb,1959,347207.38956128363,0,1,0
1459,3,2,Rural,2006,77493.9314389322,1,0,0
2337,3,3,Suburb,2008,331851.0816694101,0,1,0
1021,4,3,Rural,2013,110408.67080143408,1,0,0
1252,2,1,Urban,1993,127932.75677961828,0,0,1
1747,5,3,Rural,1982,228683.2269961876,1,0,0
1856,4,2,Rural,1959,124711.70785494654,1,0,0
2584,2,3,Suburb,2001,415850.77083678055,0,1,0
1474,3,3,Urban,1959,184819.96119001516,0,0,1
2082,4,2,Suburb,1966,164855.98777549056,0,1,0
1510,3,2,Suburb,2002,156928.01471681413,0,1,0
2705,2,1,Urban,1971,282457.8613741379,0,0,1
2499,5,1,Urban,2021,287591.6728221959,0,0,1
1699,5,1,Rural,1960,156313.5941951282,1,0,0
1975,3,3,Suburb,2016,279764.3710402287,0,1,0
2806,3,3,Suburb,1962,366494.48060208897,0,1,0
1189,3,3,Urban,2007,244539.2816890332,0,0,1
1957,4,2,Rural,1994,239299.9944944986,1,0,0
1686,2,3,Urban,1994,249148.34468610145,0,0,1
1957,3,2,Rural,1992,304197.5798399542,1,0,0
1562,3,3,Rural,2013,89378.55062087673,1,0,0
2899,3,3,Rural,1988,427295.4046033164,1,0,0
2590,5,2,Suburb,1957,328501.8015463275,0,1,0
2267,3,2,Urban,1989,215867.4189845816,0,0,1
1831,2,2,Rural,2000,190058.8928999779,1,0,0
2528,5,1,Urban,1969,259751.15444635935,0,0,1
2154,2,1,Rural,2015,166810.3886512713,1,0,0
2508,5,3,Suburb,2007,352932.1624639027,0,1,0
2842,5,3,Urban,2014,422042.91851435706,0,0,1
1646,4,3,Suburb,1994,91423.61964633202,0,1,0
1020,5,1,Rural,1983,220053.8603574218,1,0,0
1840,5,3,Suburb,1961,216148.20845399628,0,1,0
1166,2,2,Suburb,1972,161587.15372788318,0,1,0
2297,2,2,Urban,2017,194967.9094711132,0,0,1
1387,3,1,Rural,2002,152828.720291152,1,0,0
1600,4,2,Rural,2002,256725.9809436184,1,0,0
1315,5,2,Suburb,1989,98039.30310069738,0,1,0
